"DateTime","NSW","Vic","Qld","WA"
"2010-06-30 00:00:00",57152,53679,35820,28866
"2010-09-30 00:00:00",51415,44950,32161,29365
"2010-12-31 00:00:00",50044,43214,31670,31897
"2011-03-31 00:00:00",50449,42670,32418,34334
"2011-06-30 00:00:00",51675,44631,34629,36425
"2011-09-30 00:00:00",53803,47653,38314,39669
"2011-12-31 00:00:00",54165,51062,40922,43277
"2012-03-31 00:00:00",54106,53775,43693,47893
"2012-06-30 00:00:00",57226,56174,46538,50780
"2012-09-30 00:00:00",59664,58548,48158,51945
"2012-12-31 00:00:00",63135,58753,47264,49965
"2013-03-31 00:00:00",65937,59258,45357,46482
"2013-06-30 00:00:00",66763,59034,41831,42138
"2013-09-30 00:00:00",68856,59512,37242,35351
"2013-12-31 00:00:00",67583,58503,33462,29061
"2014-03-31 00:00:00",68684,59175,30966,23865
"2014-06-30 00:00:00",66992,56906,27217,18750
"2014-09-30 00:00:00",67666,57642,24700,16386
"2014-12-31 00:00:00",68352,58393,23033,15512
"2015-03-31 00:00:00",69444,58925,21257,13989
"2015-06-30 00:00:00",70309,60694,20434,14071
"2015-09-30 00:00:00",71477,61962,19288,13439
"2015-12-31 00:00:00",72838,64191,19480,12741
"2016-03-31 00:00:00",75996,68880,21376,12483
"2016-06-30 00:00:00",80007,72215,24952,11621
"2016-09-30 00:00:00",89662,78585,29711,12120
"2016-12-31 00:00:00",96202,82908,32427,11963
"2017-03-31 00:00:00",103198,89909,33923,11742
"2017-06-30 00:00:00",105502,91243,34075,12009
"2017-09-30 00:00:00",103506,91291,31762,11926
"2017-12-31 00:00:00",94928,87132,27637,11702
"2018-03-31 00:00:00",92158,86299,27604,11294
"2018-06-30 00:00:00",90650,86968,27741,11980
"2018-09-30 00:00:00",90062,87977,30297,12621
"2018-12-31 00:00:00",92886,89537,33737,14550
"2019-03-31 00:00:00",89565,89085,33694,16449
"2019-06-30 00:00:00",84543,85476,31749,17484
"2019-09-30 00:00:00",80290,85832,32593,21024
"2019-12-31 00:00:00",79284,85063,33915,25505
"2020-03-31 00:00:00",73833,75960,35089,28864
"2020-06-30 00:00:00",57889,60570,27967,25167
"2020-09-30 00:00:00",24435,14043,10733,14974
"2020-12-31 00:00:00",6938,-20374,-1019,5191
"2021-03-31 00:00:00",-15377,-51662,-15188,-5433
"2021-06-30 00:00:00",-7326,-52989,-12859,-5068
"2021-09-30 00:00:00",-3287,-37597,-7534,-3520
"2021-12-31 00:00:00",11159,-6990,-2154,-2171
"2022-03-31 00:00:00",46255,35585,13816,3592
"2022-06-30 00:00:00",62216,55633,23429,9504
